pmid,title,abstract,authors,year,journal,search_label,decision
41314466,Targeted Treatment in Asthma-Opportunities and Challenges.,"This review summarizes the key insights and future directions on targeted asthma treatment discussed during the 2025 Expert Meeting supported by the Central and Southern European Allergy and Asthma Alliance (CSEA3). Targeted treatment in asthma is becoming an attainable goal for selected patients but is not yet established as a standard asthma care pathway. The expert panel identified 4 key priorities to advance targeted asthma management: (1) Defining remission-a universally accepted, evidence-based definition is needed to guide clinical practice and guideline development. (2) The management of mild asthma guided by patient stratification according to asthma pathogenetic pathways (endotype) and risk profile may enable more tailored therapy and better outcomes. (3) Biomarker discovery and validation-research must prioritize predictive biomarkers that are easy to measure at the point of care, supported by innovative trials that combine precision immunology and machine learning. (4) Optimizing implementation and addressing the barriers to adopting stratified care, including limited resources and cost-effectiveness concerns, must be addressed. Digital tools offer promise but require further validation. Coordinated efforts are essential to translate advances in personalized asthma treatment into better outcomes and more sustainable care, particularly in resource-limited settings.",Agache Ioana; Zemelka-Wiacek Magdalena; Gawlik Radosław; Georas Steve N; Jahnz-Różyk Karina; Kupczyk Maciej; Moniuszko Marcin; Mӧsges Ralph; Mukherjee Manali; Nair Parameswaran; Papi Alberto; Sanak Marek; Yildirim Ali Ӧnder; Jutel Marek,2026,The journal of allergy and clinical immunology. In practice,Financing / reimbursement — supplementary,pending
41311259,"Value-based health care frameworks for the health technology assessments of ""omics"" technologies: an international survey.","Despite omics technologies gaining traction in clinical settings, particularly in oncology, challenges persist in their widespread adoption due to the pre-requisite robust evidence supporting efficacy and cost-effectiveness. This study aims to explore the experiences of organizations working in the health technology assessment (HTA) field in evaluating omics technologies, with a particular focus on the adoption and application of specific assessment frameworks. We conducted a global survey to gather insights into current practices and frameworks used in HTA evaluations of omics technologies. We gathered responses from thirty-nine participants representing organizations across twenty-nine countries and five continents. Among them, 51 percent (n = 20) reported experience in evaluating omics technologies, including multi-omics tests for early disease detection, biomarker-based cancer diagnostics, and advanced genomic sequencing techniques. Only three organizations employed specific assessment frameworks: the  Despite their relevance, the limited adoption of tailored frameworks highlights the need for more structured and context-specific approaches to facilitate the integration of omics technologies into healthcare systems. Collaborative efforts among stakeholders, including patients, healthcare providers, policymakers, and industry representatives, are crucial for devising robust evaluation strategies addressing the complexities of omics technologies comprehensively.",Osti Tommaso; Taha Abdelrahman; Reviriego-Rodrigo Eva; Pastorino Roberta; Boccia Stefania; Gutierrez-Ibarluzea Iñaki,2025,International journal of technology assessment in health care,Financing / reimbursement — supplementary,pending
41301824,Remote Hemodynamic Monitoring in Heart Failure Management: A Comprehensive Review of Recent Advances and Clinical Challenges.,,Galvez-Sánchez Carmen M; Camacho-Ruiz Julio A; Castelli Lorys; Limiñana-Gras Rosa M,2025,Biomedicines,Financing / reimbursement — supplementary,pending
41301080,Bridging Discovery and Treatment: Cancer Biomarker.,"Biomarkers have transformed cancer care by linking molecular insights to personalized treatment strategies. This review first surveys the spectrum of detection modalities, including tissue genomics and histopathology; liquid biopsies such as circulating tumor DNA (ctDNA), circulating tumor cells (CTCs), and extracellular vesicles; imaging and radiomics; and multi-omic approaches spanning epigenomics, transcriptomics, proteomics, metabolomics, and microbiomics. We then critically appraise the translational challenges that hinder clinical implementation, assay standardization, data integration, analytical and clinical validation, regulatory pathways, and cost-effectiveness. Finally, we explore emerging solutions, including artificial intelligence (AI)-driven multi-modal phenotyping, adaptive trial designs, and point-of-care assays, and outline future directions for expanding access and equitable adoption. By emphasizing the central role of biomarkers in guiding targeted and immune-based therapies, we underscore their potential to overcome tumor heterogeneity, preempt resistance, and ultimately improve patient outcomes.",Liu Hengrui; Karsidag Ilayda; Golin Rebecca; Wu Guangzhen,2025,Cancers,Financing / reimbursement — supplementary,pending
41295220,Impact of Reducing Obesity in PCOS: Methods and Treatment Outcomes.,"Obesity has become increasingly prevalent, impacting up to 41 percent of women in the United States between 2021 and 2023, leading to a rise in short- and long-term adverse health events. With regard to reproductive health, obesity is associated with menstrual irregularities, poorer reproductive and obstetric outcomes, and an increased risk of endometrial cancer. Obesity can lead to hyperandrogenism and anovulation, which is consistent with polycystic ovarian syndrome (PCOS). The prevalence of obesity is higher in women with PCOS compared to the general population. Although PCOS increases the risk of obesity, not all women with PCOS are obese, and not all women with obesity develop PCOS. However, individuals with both PCOS and obesity often present with a more extreme phenotype, with increased risk of chronic anovulation, glucose intolerance, dyslipidemia, metabolic syndrome, vitamin D deficiency, and decreased fertility. Therefore, weight loss is the backbone of patient management in women with obesity and PCOS, and is associated with improvement in cardiovascular risk, as well as improvement in menstrual cycles, ovulation, and pregnancy rate. Lifestyle modifications are often the first-line intervention, with data supporting low glycemic index diets, including ketogenic and DASH diets, along with vitamin D supplementation to improve hormonal imbalances, insulin sensitivity, and menstrual cycles in those who do not have normal vitamin D levels. Furthermore, with the recent widespread adoption of newer FDA-approved medications for weight loss, including GLP-1 (glucagon-like peptide) receptor agonists, new data are emerging regarding the impact of PCOS and longer-term cardiovascular risk. The treatment of PCOS requires a personalized approach, with consideration of a patient's reproductive goals, tolerance of risk, and acceptance of behavioral and financial commitments, as well as consideration of other medical comorbidities. This narrative review explores different weight loss treatment options, comparing lifestyle modifications (including diet, physical activity, mindfulness, stress management, and cognitive behavioral training), weight loss medications, and bariatric surgery and their respective impact on PCOS to assist clinicians in guiding their patients towards an effective, individualized intervention.",Dzienny Alexa C; Seifer David B,2025,Journal of personalized medicine,Financing / reimbursement — supplementary,pending
41295218,"The Three Musketeers in Cancer Therapy: Pharmacokinetics, Pharmacodynamics and Personalised Approach.","Cancer therapy is rapidly evolving from a one-size-fits-all paradigm toward highly personalized approaches. Traditional chemotherapies and radiotherapies, while broadly applied, often yield suboptimal outcomes due to tumor heterogeneity and are limited by significant toxicities. In contrast, precision oncology tailors prevention, diagnosis, and treatment to the individual patient's genetic and molecular profile. Key advancements underscore this shift: molecularly targeted drugs (e.g., trastuzumab for HER2-positive breast cancer, EGFR and ALK inhibitors for lung cancer) have improved efficacy and reduced toxicity compared to conventional therapy. Pharmacokinetic (PK) and pharmacodynamic (PD) considerations are central to personalizing treatment, explaining variability in drug exposure and response among patients and guiding dose optimization. Modern strategies like therapeutic drug monitoring and model-informed precision dosing seek to maintain drug levels in the therapeutic range, improving outcomes. Immunotherapies, including checkpoint inhibitors and CAR-T cells, have transformed oncology, though patient selection via biomarkers (such as PD-L1 expression or tumor mutational burden) is critical to identify likely responders. Innovative drug delivery systems, notably nanomedicine, address PK challenges by enhancing tumor-specific drug accumulation and enabling novel therapeutics. Furthermore, rational combination regimens (informed by PK/PD and tumor biology) are being designed to achieve synergistic efficacy and overcome resistance. Key barriers include the high cost of biomarker testing, insufficient laboratory infrastructure, and inconsistent reimbursement policies. Operational inefficiencies such as long turnaround times or lack of clinician awareness further limit the use of precision diagnostics. Regulatory processes also remain complex, particularly around the co-development of targeted drugs and companion diagnostics, and the evidentiary requirements for rare subgroups. Addressing these barriers will require harmonized policies, investment in infrastructure, and educational initiatives to ensure that the promise of personalized medicine becomes accessible to all patients. Ensuring that advances are implemented responsibly-guided by pharmacological insights, supported by real-world evidence, and evaluated within ethical and economic frameworks-will be critical to realizing the full potential of personalized cancer medicine.",Zarić Milan; Čanović Petar; Živković Zarić Radica; Protrka Simona; Glišić Miona,2025,Journal of personalized medicine,Financing / reimbursement — supplementary,pending
41287436,Novel biomarkers for alcohol-associated liver disease and their implications across clinical settings.,"Alcohol-associated liver disease (ALD) is a leading cause of preventable cirrhosis, hepatocellular carcinoma (HCC), and liver-related mortality, yet current laboratory and imaging tools detect only late-stage disease. This narrative review synthesizes emerging evidence on novel biomarkers that capture the multidimensional pathophysiology of ALD and discusses their utility for routine clinical practice. Traditional serum-based liver fibrosis markers (e.g., cytokeratin-18 fragments, Pro-C3, the enhanced liver fibrosis test) improve non-invasive staging risk beyond aminotransferases, while elastography techniques, such as vibration-controlled transient elastography and magnetic resonance elastography, can also quantify liver stiffness with high precision. Among novel mechanistic biomarkers, genetic polymorphisms in PNPLA3, TM6SF2, MBOAT7, HSD17B13, and polygenic risk scores define lifetime risk, whereas sex-specific hormonal milieus also modify susceptibility and progression. Moreover, gut dysbiosis signatures, including reduced Faecalibacterium prausnitzii, Akkermansia muciniphila, and a lower Firmicutes/Bacteroidetes ratio, and their metabolites (short-chain fatty acids, and bile acids, trimethylamine N-oxide) correlate with liver inflammation and fibrosis. Endocrine imbalances of cortisol, testosterone, and thyroid hormones further stratify metabolic vulnerability. Ultimately, multi-omics platforms (i.e., transcriptomics, lipidomics, proteomics, metabolomics, and epigenomics) can reveal distinct molecular signatures that predict steatohepatitis, fibrogenesis, and early HCC. Integrating these biomarkers enables phase-specific enrichment strategies, earlier intervention windows, adaptive dose-finding, and mechanismbased endpoints in ALD trials. Remaining challenges include assay standardization, validation across diverse cohorts, and incorporation into regulatory frameworks. Future work could evaluate cost-effectiveness and feasibility in routine clinical practice. Widespread adoption promises earlier diagnosis, personalized risk reduction, and more efficient drug development for this globally prevalent disorder.",Rama Kaanthi; Jahagirdar Vinay; Idalsoaga Francisco; Blaney Hanna; Rhoads S Fisher; Díaz Luis Antonio; Arrese Marco; Arab Juan Pablo,2026,Clinical and molecular hepatology,Financing / reimbursement — supplementary,pending
41262643,Perceptions of health data commodification in AI-driven healthcare systems in Saudi Arabia.,"Artificial Intelligence (AI) is transforming healthcare service delivery through predictive analytics, precision medicine, and advanced diagnostics. However, the commodification of health data introduces complex ethical and social challenges related to privacy, ownership, and consent. This study explores perceptions of health data commodification within AI-driven healthcare systems, focusing on Saudi Arabia's rapidly evolving digital healthcare landscape. A mixed-methods approach was employed, combining quantitative surveys and in-depth qualitative interviews. The study included 42 patients, 8 healthcare professionals, 3 insurance representatives, and 4 AI experts. Data were collected across three main themes: data privacy, perceived benefits of AI, and attitudes toward data commodification. Quantitative data were analyzed descriptively, while qualitative responses were examined thematically. Findings reveal that 61.9% of patients consider health data a form of personal property, while 59.5% feel they have limited control over how their data are used. A significant trust deficit was observed, with 50% expressing low confidence in AI systems' ability to protect privacy, particularly among older participants. Financial incentives strongly influenced willingness to share data, with 81% agreeing to share their data if compensated. Furthermore, 64.3% supported the sale of anonymized data by healthcare providers to technology companies, provided adequate safeguards are in place. These insights underscore the urgent need for robust regulatory frameworks emphasizing informed consent, transparency, and ethical governance in AI healthcare systems. The study highlights the importance of patient-centered policies, equitable compensation mechanisms, and enhanced training and awareness programs to build public trust and ensure responsible AI adoption. By addressing these ethical and governance challenges, policymakers can align technological innovation with equity, privacy, and the principles of ethical healthcare delivery.",Al Qwaid Marran,2025,Frontiers in artificial intelligence,Financing / reimbursement — supplementary,pending
41252796,Novel emerging cell and organoid systems for the study of drug metabolism and toxicity in humans.,"The drug discovery and development process faces significant challenges, including high attrition rates and substantial financial investment, in part due to the limitations of traditional 2-dimensional (2D) cell culture systems and animal models to predict human drug metabolism, efficacy, and toxicity. This review highlights the emergence of novel in vitro human cell culture and organoid systems, such as 3-dimensional (3D) cultures, self-assembling organoids, induced pluripotent stem cell-derived models, and microphysiological system or organ-on-a-chip systems, as transformative solutions to the issues raised when extrapolating from 2D cell culture. These advanced platforms offer enhanced physiological relevance by better recapitulating complex in vivo microenvironments, thus improving the predictability and accuracy of preclinical drug assessment. In this study, we systematically cover the utility of these advanced systems in studying drug metabolism and toxicology across key organs like the liver, intestine, and kidney, emphasizing their advantages over conventional models in terms of cellular diversity, architectural complexity, and long-term functional maintenance. We also discuss the potential of integrating these novel systems into the drug development pipeline, particularly their compatibility with high-throughput screening and their alignment with the 3Rs principle (replacement, reduction, and refinement) for ethical research. Despite their immense promise, challenges remain; including the lack of standardized protocols, the complexity of data analysis, and the need for further advancements in vascularization, innervation, and immune component integration. We conclude by exploring future directions, including the crucial role of artificial intelligence and machine learning in analyzing complex datasets and the potential for personalized medicine through patient-derived organoids. Overcoming these challenges will be vital for these innovative platforms to revolutionize pharmaceutical development, leading to safer, more effective, and more efficiently produced pharmaceuticals. SIGNIFICANCE STATEMENT: This article reviews the design, construction, and implementation of novel in vitro cell culture and organoid systems for preclinical drug metabolism and pharmacokinetics and toxicology studies. As such, it serves as a resource for interested parties who would like to learn about, and implement, these cutting-edge technologies into their drug discovery and development workflow.",Gracey Emily G; Lampe Jed N,2025,Drug metabolism and disposition: the biological fate of chemicals,Financing / reimbursement — supplementary,pending
41230602,Genetic and Genomic Testing in Cardiovascular Disease: A Policy Statement From the American Heart Association.,"The rapid advancement of genomic and precision medicine has expanded the role of genetics and genomics in the diagnosis, risk stratification, and management of cardiovascular diseases. With the decreasing cost and increasing accessibility of genetic testing, its clinical utility continues to expand, necessitating updated policies to ensure equitable access, appropriate regulatory oversight, and ethical data stewardship. This policy statement by the American Heart Association provides a framework addressing key policy areas, including equitable implementation of genetic testing, the impact of federal regulations, data privacy concerns, reimbursement for genetic counseling services, and the integration of emerging technologies such as artificial intelligence in cardiovascular genomics into clinical practice. This policy statement underscores the importance of strategic investments in biobanking and genomic research across all populations to enhance variant interpretation and to improve risk prediction models. In addition, it highlights the evolving landscape of pharmacogenomics, polygenic risk scores, and precision public health approaches to cardiovascular disease prevention. By advocating for a multidisciplinary approach that bridges scientific innovation, clinical application, and policy development, this policy statement aims to optimize the benefits of genetic and genomic testing while mitigating disparities and ethical challenges in its implementation.",Landstrom Andrew P; Ferguson Jane F; James Cynthia A; Key Kaitlin V; Lanfear David; Natarajan Pradeep; Rasmussen-Torvik Laura J; Reza Nosheen; Roden Dan M; Tsao Philip S; Whitsel Laurie P; Wung Shu-Fen,2025,Circulation,Financing / reimbursement — supplementary,pending
41194701,"Genomic tests to guide management of breast cancer in Europe: regulation, reimbursement, adoption, and challenges.","The integration of genomic tests such as the Oncotype DX Breast Recurrence Score® test, into routine clinical practice represents a significant advance in personalized breast cancer care. By supporting more tailored therapeutic decisions, these diagnostics can improve patient outcomes, while reducing risks of undertreatment, overtreatment, and associated side effects. Cost-effectiveness has already been demonstrated in numerous publications. However, for widespread adoption across Europe, four principal challenges must be overcome: regulation, technology assessment, reimbursement, and gaps in real-world evidence. Since May 2022, the European Union In Vitro Diagnostics Regulation (IVDR) has updated requirements for demonstrating clinical utility and analytical and scientific validity, creating new barriers for manufacturers regarding primary evidence generation. Variability in health technology assessment (HTA) frameworks and reimbursement mechanisms across countries further complicates adoption. Demonstrating real-world benefits of these technologies requires robust, representative data collections, yet current clinical trial evidence often underrepresents certain patient populations, raising equity concerns. Whilst the IVDR will help standardize regulatory requirements, challenges remain in harmonizing evidence standards for HTA and reimbursement. This review explores these barriers using the Oncotype DX® test as an exemplar. Evidence was drawn from targeted literature searches and reviews of regulatory, reimbursement, and gray literature relevant to European healthcare systems. Genomic tests can analyze the genes in breast tumors to help doctors better understand how the cancer is likely to behave. They provide important information to guide treatment, such as whether chemotherapy, the standard treatment used to target fast-growing cancer cells, is likely to be beneficial. This helps ensure that patients receive the most appropriate care, offering treatment when it is likely to help, and avoiding it when it is not needed. In many parts of Europe, these tests are included in national guidelines and covered by health systems, which supports broad access for patients. However, in other countries, approval and funding processes are still evolving. This creates differences in how widely the tests are used, and some patients may not have the same opportunity to benefit from personalized treatment. A key reason for this variability is that each country has its own approach to approving and reimbursing new medical technologies. The process can be complex and often requires large amounts of evidence, which may differ from one country to another. Although the tests are supported by strong scientific research, differences in national systems make it challenging to introduce them across Europe in a consistent way. Greater coordination across countries could help ensure more equal access to tumor profiling. By working toward more aligned approval and evaluation processes, health systems could support wider use of personalized testing, leading to more informed treatment decisions and improved care for people with breast cancer.",Verrill Mark; Lux Michael Patrick; Gligorov Joseph; Geisler Jürgen; Duchnowska Renata; Elsberger Beatrix; Martin Miguel,2025,"Future oncology (London, England)",Financing / reimbursement — supplementary,pending
41179287,Reprogramming the Tumor Microenvironment in Head and Neck Squamous Cell Carcinoma: Therapeutic Targets and Innovations.,"Head and neck squamous cell carcinoma (HNSCC) is an aggressive cancer with high recurrence rates and prevalent resistance to therapeutic interventions. Tumor behavior is largely dependent on the tumor microenvironment (TME) that includes immune cells, stromal components, cancer-associated fibroblasts (CAFs), the extracellular matrix (ECM), and an associated cytokine network. In this review, we examine principal mechanisms of the tumorigenic transformation, encompassing immune checkpoint disruption, therapy resistance mediated through CAFs, the contribution of hypoxic niches, and several metabolic dependencies that hold potential as future targets. Novel therapeutics developed and/or repurposed, such as immune checkpoint inhibitors (ICIs), TME modulation therapeutics, CAF reprogramming, hypoxia targeting agents, and ECM remodeling, aim to overcome TME-mediated resistance. We also examine the rationale and progress of integrating TME-targeted therapies with other treatment modalities. By identifying actionable, molecular targets within the HNSCC TME, this review presents a translational perspective for implementing TME modulation in personalized treatment. The challenges comprise TME heterogeneity, a paucity of predictive biomarkers, and a translational gap between pre-clinical and clinical practice. Future studies must be aimed at proper stratification of patients, optimization of combination treatment, and cost-effectiveness analysis of TME-modifying therapies to enable personalized medicine in HNSCC treatment.",Špiljak Bruno; Poposki Bojan; Lešić Stjepanka,2025,Oncology research,Financing / reimbursement — supplementary,pending
41178051,Pharmacogenetic testing coverage by Canadian insurance providers.,"In Canada, access to pharmacogenetic (PGx) testing remains limited, particularly outside of research institutions, and commercial testing is often cost-prohibitive. To address access challenges, several Canadian insurance providers have begun offering PGx test coverage; however, the extent and nature of this coverage remain unclear. This study systematically reviewed publicly available PGx coverage policies from Canadian insurance companies to evaluate eligibility requirements, affiliated laboratories, and clinical actionability of test panels. Ten Canadian insurers were identified with publicly accessible PGx testing policies. Six offered partial reimbursement or discounted pricing to all members, while four restricted full coverage to individuals meeting specific criteria, such as being on disability leave or having a physician's diagnosis. Eligibility requirements varied considerably, with some insurers requiring multiple conditions to be met. Four commercial laboratories were affiliated with insurers, but these labs differed substantially in the number of actionable genes and drugs tested. Our findings highlight substantial heterogeneity in insurer eligibility criteria and affiliate lab test comprehensiveness that may create inequities in access and quality of care. Furthermore, variability in insurance coverage may influence clinicians' willingness to recommend testing and patients' ability to access personalized therapy. These findings underscore the need for standardized PGx testing coverage policies and harmonized testing panels. Collaboration among insurers, researchers, and clinicians is essential to generating Canadian-specific evidence to guide equitable and clinically effective PGx implementation.",Brubaker-Plitt Ruby; Bousman Chad A,2025,Pharmacogenetics and genomics,Financing / reimbursement — supplementary,pending
41153299,Perceived Barriers to NGS-Based Molecular Profiling Among US Metastatic Breast Cancer Patients.,,Cadirov Nicholas; Chaki Moumita; Foroughi Olivia; Perez Omar; Redpath Stella; Gustavsen Gary,2025,"Diagnostics (Basel, Switzerland)",Financing / reimbursement — supplementary,pending
41146680,Artificial intelligence in clinical pharmacy-A systematic review of current scenario and future perspectives.,"Medication prescription errors represent a significant and persistent challenge within healthcare systems globally, constituting a primary focus for clinical pharmacy practice. Additional complexities involve the optimization of drug dosing and the implementation of personalized medicine. This review aims to synthesize the current advancements in artificial intelligence (AI) applications within clinical pharmacy and to discuss future directions for the field. To present this narration, 30 articles were reviewed in total. The literature search was done using electronic databases, for example, PubMed, Medline, and Google Scholar, with the help of some keywords. Only articles published in peer-reviewed journals were included. A total of 30 articles that demonstrated the utility of AI-based applications in clinical pharmacy were included for further analysis. Across all included studies, AI was utilized primarily for the detection of adverse drug events, clinical decision support, verification of prescription accuracy, and pharmacometrics. Secondary applications included providing recommendations to pharmacists for medication therapy management and, importantly, predicting the therapeutic response to a given treatment in conjunction with its cost-effectiveness. Artificial intelligence-based algorithms have been identified as applicable tools for the early detection of adverse drug events and prescription errors, the prediction of individual drug response, and the design of patient-specific treatment plans. Prior to broad clinical implementation, future multicenter, prospective studies employing standardized clinical endpoints, external validation, and cost-effectiveness analyses are required.",Alqahtani Saad S; Menachery Santhosh Joseph; Alshahrani Ali; Albalkhi Bander; Alshayban Dhfer; Iqbal Muhammad Zahid,2025,Digital health,Financing / reimbursement — supplementary,pending
41146138,Implementation of precision medicine in treating non-communicable diseases: a systematic review.,"Non-communicable diseases (NCDs) are a major global health and economic burden. Precision medicine has merged as a promising approach for treating NCDs by tailoring health interventions to individual profiles. Despite rapid advances, its effective implementation remains slow. This systematic review aimed to examine the implementation landscape for delivering precision medicine interventions, services, or programs for NCDs, focusing on barriers, facilitators, strategies, and outcomes. Comprehensive searches were performed in PubMed, Embase, CINAHL, and Web of Science until November 2024. The search strategy comprised of four key concepts, i.e. precision medicine, NCDs, implementation, and public health. Articles published from 2014 onwards were included. Extracted data included study characteristics, populations, precision medicine intervention details, and information related to implementation. Relevant data were coded to implementation science frameworks and taxonomies. These included the updated Consolidated Framework for Implementation Research (CFIR 2.0), Expert Recommendations for Implementing Change (ERIC), and Proctor's outcomes framework. The QuADs tool was used to assess the risk of bias of included studies. A total of 10,039 records were identified, with 8,684 abstracts and 463 full texts screened. Of these, 68 studies met the inclusion criteria. While 64 studies reported implementation determinants [i.e. barriers (n = 61) and/or facilitators (n = 40)], approximately two-thirds proposed or implemented strategies that were primarily based on intuition. Key barriers identified included 'access to knowledge and information' (n = 34) and 'work infrastructure' (n = 21) within the Inner Setting, and 'financing' (n = 20) within the Outer Setting. While financial burdens were clearly attributed to patients and healthcare settings, there was less clarity and strategic direction regarding potential funding sources to support implementation strategies. Implementation Outcomes were reported in 46 instances, with Adoption being the most frequent. Service Outcomes, particularly Effectiveness, were generally positive, as were patient outcomes, primarily, mortality and morbidity. Despite growing interest in precision medicine for treating NCDs, implementation evidence remains theoretically fragmented, making it difficult to identify implementation success patterns. Future efforts adopting targeted strategies and robust outcome evaluation, guided by implementation science, are needed to support effective integration of precision medicine into routine healthcare.",Liang Shuang; Kennedy Elizabeth; Gale Nyree; Watson Paul; Ramanathan Mahitha; Shinde Arya; McKay Skye; Torres-Robles Andrea; Li Zhicheng; Chan Jeffery; Jones Helen; Ballinger Mandy L; Butow Phyllis; Goldstein David; Leaney Kathryn; Middleton Sandy; Morrow April; Thomas David M; Tucker Kathy M; Zaheed Milita; Parkinson Bonny; Lin Frank; Taylor Natalie,2025,Journal of translational medicine,Financing / reimbursement — supplementary,pending
41135088,Clozapine and pharmacogenomics testing: opportunities and challenges for personalized treatment in schizophrenia.,"Clozapine remains the gold standard for treatment-resistant schizophrenia (TRS), offering unparalleled efficacy but accompanied by significant interindividual variability in response and risk of severe adverse effects. Pharmacogenomics (PGx), the study of how genetic variations influence drug response, has transformed treatment for other medications like warfarin but remains underutilized in clozapine prescribing. This review synthesizes current evidence on the potential of PGx to enhance clozapine treatment by improving the prediction of therapeutic response, metabolism, and adverse drug reactions. Key genetic markers, such as variants in serotonin receptor genes (e.g., HTR2A and HTR3A), metabolism-related enzymes (CYP1A2), and immune-related genes (HLA-DQB1 and HLA-B",Khoodoruth Muhammad Abdur Rahman; Khoodoruth Mohamed Adil Shah,2026,Canadian journal of physiology and pharmacology,Financing / reimbursement — supplementary,pending
41128787,"Barriers, facilitators, and implementation strategies for pharmacogenomics in community pharmacies: a cross-sectional survey among local champions in pharmacies and key opinion leaders in pharmacogenomics.","Pharmacogenomics (PGx) tailors drug treatments to an individual's genetic profile and contributes to improved efficacy and reduced adverse drug reactions. Community pharmacists have shown interest in PGx, and Dutch pharmacists have been early adopters in applying PGx guidelines, particularly through integration of the Dutch Pharmacogenetics Working Group recommendations. Despite growing evidence of its benefits, large-scale implementation in community pharmacies remains limited. This raises an important question for global stakeholders: if PGx adoption is constrained even in a system with robust infrastructure and guidelines, what lessons can be drawn for broader implementation? To examine current PGx practices in leading Dutch community pharmacies and to identify key barriers, facilitators, and implementation strategies for integrating PGx into routine pharmacy care. A cross-sectional survey was conducted among Dutch pharmacy professionals with experience in PGx implementation. Participants were categorized as key opinion leaders (KOLs), involved in national PGx policymaking, research, or representing academia or professional organizations, or local champions (LCs), defined as practicing pharmacists directly involved in local PGx implementation in hospital or community pharmacies. The questionnaire was retrospectively mapped to Consolidated Framework for Implementation Research domains. Quantitative data were analyzed descriptively and qualitative responses were inductively thematically grouped to contextualize findings. Of the 67 invited professionals, 46 completed the questionnaire (response rate: 69%). Among respondents, 70% were LCs and 30% KOLs. Among KOLs (n = 14), the most frequently cited barriers included costs (79%, n = 11/14), inadequate Information and Communication Technology (ICT) support (29%, n = 4/14), and legal or regulatory uncertainty (29%, n = 4/14). A positive view on the clinical value of PGx was reported by 81% of LCs (n = 26/32) and 93% of KOLs (n = 13/14). Suggested facilitators by LCs included improved ICT infrastructure (56%, n = 18/32), enhanced education and training (44%, n = 14/32), and stronger interdisciplinary collaboration (25%, n = 8/32). PGx implementation in Dutch pharmacies is hindered by structural barriers such as fragmented ICT and lack of reimbursement, despite strong professional support. Embedding PGx into pharmacy workflows and aligning policy, infrastructure, and education are essential. These findings may inform broader efforts to integrate PGx into pharmacies across diverse systems.",Kiani Pantea; Bet Pierre M; Jessurun Naomi T; Hoogland Petra; Mentink Jeroen; Swen Jesse J; Borgsteede Sander D,2026,International journal of clinical pharmacy,Financing / reimbursement — supplementary,pending
41106024,A Delphi study on valuing DNA sequencing in oncology: a European stakeholder developed framework for assessing next generation sequencing and comprehensive genomic profiling diagnostics.,"Advanced genomic technologies like Next Generation Sequencing and Comprehensive Genomic Profiling are pivotal for the prevention, management and treatment of cancer by identifying crucial genetic markers. However, their adoption in Europe is inconsistent, partly due to the lack of a validated approach to assessing their value. A multi-phase mixed-methods approach was implemented, integrating a systematic review and multi-stakeholder consensus-generating Delphi exercise to derive a comprehensive set of value criteria and arrive at a value assessment framework. This value assessment framework adapted an existing Latin American-focused diagnostic framework to the European context. The Delphi included representatives from the broader stakeholder community (patient advocacy, industry, decision-makers, health technology assessment, regulators, academia, and physicians). Over four rounds, participants refined and rated the significance of these criteria in the context of the assessment of the specified technologies in oncology, particularly for reimbursement decisions. Responses were analysed in terms of stability and level of consensus in order to generate a final value assessment framework. 34 individuals participated in all rounds of the Delphi exercise. The final value assessment framework includes 8 distinct value criteria, including: clinical impact; test performance and quality; quality of scientific evidence; non-clinical impact; impact on health system integration, organisation and delivery of care; economic aspects; ethical and governance concerns; and health system priorities. Within these criteria, a total of 27 distinct sub-criteria were identified, 23 of which had consensus as 'important' or 'very important' in assessing value. The resultant value assessment framework is validated by a wide range of key European stakeholders and enables systematic assessment of Next Generation Sequencing and Comprehensive Genomic Profiling technologies used in oncology diagnostics within the European setting. The framework includes aspects that are not adequately considered in current health technology assessment and goes beyond existing value assessment frameworks through the inclusion of newer criteria such as data governance concerns. Funding was provided by the Precision Cancer Consortium with an unrestricted educational grant.",Federico Augustovski; Danitza Chavez; Madeleine Haig; Caitlin Main; Fernando Argento; Carla Colaci; Mackenzie Mills; Verónica Alfie; Andrés Pichon-Riviere; Andrea Alcaraz; Panos Kanavos,2025,EBioMedicine,Financing / reimbursement — supplementary,pending
41104340,Pharmacogenomics of antibiotic-induced hypersensitivity reactions: current evidence and implications in clinical practice.,"Adverse drug reactions (ADRs) are gradually becoming a concerning health threat worldwide in patients undergoing acute or chronic therapy. Antibiotics are the main drugs that cause immune-mediated ADRs, such as severe cutaneous adverse reactions (SCARs), allergic reactions, and organ-specific diseases, representing a significant threat to patient safety. In this review, we present the current genetic evidence available for antibiotic-related toxicities from a pharmacogenomics (PGx) perspective. We also explore the current state of PGx-based dosing recommendations and the factors limiting their widespread application in routine clinical practice. Through a systematic literature review, this study identified at least 12 antibiotic-gene pairs (amikacin-",Biswas Mohitosh; Murad Murshadul Alam; Ashik Md Ismail Hossain; Ershadian Maliheh; Sukasem Chonlaphat,2025,Frontiers in pharmacology,Financing / reimbursement — supplementary,pending
